user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned
b'1',b'Female',54,b'CA',b'Free',26,23,0.2,b'Desktop',31,0,1
b'2',b'Other',33,b'DE',b'Family',141,62,0.34,b'Web',0,1,0
b'3',b'Male',38,b'AU',b'Premium',199,38,0.04,b'Mobile',0,1,1
b'4',b'Female',22,b'CA',b'Student',36,2,0.31,b'Mobile',0,1,0
b'5',b'Other',29,b'US',b'Family',250,57,0.36,b'Mobile',0,1,1
b'6',b'Female',17,b'AU',b'Free',219,35,0.46,b'Desktop',13,0,0
b'7',b'Female',39,b'UK',b'Premium',289,44,0.38,b'Desktop',0,1,0
b'8',b'Female',41,b'UK',b'Free',210,68,0.11,b'Mobile',5,0,0
b'9',b'Other',55,b'DE',b'Student',50,66,0.29,b'Web',0,1,0
b'10',b'Male',44,b'DE',b'Free',278,94,0.38,b'Mobile',44,0,0
b'11',b'Other',33,b'DE',b'Free',86,44,0.11,b'Web',37,0,0
b'12',b'Other',24,b'CA',b'Free',113,24,0.56,b'Desktop',39,0,1
b'13',b'Female',37,b'IN',b'Family',24,86,0.11,b'Desktop',0,1,0
b'14',b'Female',53,b'US',b'Premium',45,47,0.6,b'Web',0,1,0
b'15',b'Other',37,b'IN',b'Family',114,13,0.44,b'Web',0,1,1
b'16',b'Male',25,b'FR',b'Student',230,25,0.26,b'Desktop',0,1,0
b'17',b'Female',36,b'DE',b'Student',181,93,0.23,b'Mobile',0,1,0
b'18',b'Male',58,b'US',b'Family',120,8,0.41,b'Desktop',0,1,0
b'19',b'Female',34,b'DE',b'Family',160,32,0.35,b'Mobile',0,1,0
b'20',b'Male',35,b'UK',b'Student',281,51,0.35,b'Desktop',0,1,0
b'21',b'Female',33,b'AU',b'Student',138,60,0.6,b'Web',0,1,0
b'22',b'Male',49,b'AU',b'Premium',20,7,0.45,b'Desktop',0,1,0
b'23',b'Female',45,b'PK',b'Family',138,95,0.1,b'Desktop',0,1,0
