gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,is_churned
b'Female',54,b'CA',b'Free',26,23,0.2,b'Desktop',31,1
b'Other',33,b'DE',b'Family',141,62,0.34,b'Web',0,0
b'Male',38,b'AU',b'Premium',199,38,0.04,b'Mobile',0,1
b'Female',22,b'CA',b'Student',36,2,0.31,b'Mobile',0,0
b'Other',29,b'US',b'Family',250,57,0.36,b'Mobile',0,1
b'Female',17,b'AU',b'Free',219,35,0.46,b'Desktop',13,0
b'Female',39,b'UK',b'Premium',289,44,0.38,b'Desktop',0,0
b'Female',41,b'UK',b'Free',210,68,0.11,b'Mobile',5,0
b'Other',55,b'DE',b'Student',50,66,0.29,b'Web',0,0
b'Male',44,b'DE',b'Free',278,94,0.38,b'Mobile',44,0
b'Other',33,b'DE',b'Free',86,44,0.11,b'Web',37,0
b'Other',24,b'CA',b'Free',113,24,0.56,b'Desktop',39,1
b'Female',37,b'IN',b'Family',24,86,0.11,b'Desktop',0,0
b'Female',53,b'US',b'Premium',45,47,0.6,b'Web',0,0
b'Other',37,b'IN',b'Family',114,13,0.44,b'Web',0,1
b'Male',25,b'FR',b'Student',230,25,0.26,b'Desktop',0,0
b'Female',36,b'DE',b'Student',181,93,0.23,b'Mobile',0,0
b'Male',58,b'US',b'Family',120,8,0.41,b'Desktop',0,0
b'Female',34,b'DE',b'Family',160,32,0.35,b'Mobile',0,0
b'Male',35,b'UK',b'Student',281,51,0.35,b'Desktop',0,0
b'Female',33,b'AU',b'Student',138,60,0.6,b'Web',0,0
b'Male',49,b'AU',b'Premium',20,7,0.45,b'Desktop',0,0
b'Female',45,b'PK',b'Family',138,95,0.1,b'Desktop',0,0
b'Male',44,b'CA',b'Family',134,97,0.42,b'Web',0,0
b'Other',32,b'CA',b'Premium',133,22,0.59,b'Desktop',0,0
b'Female',19,b'US',b'Student',39,29,0.53,b'Desktop',0,0
b'Male',28,b'IN',b'Free',293,67,0.33,b'Mobile',23,1
b'Other',58,b'FR',b'Free',15,55,0.3,b'Mobile',35,0
b'Male',33,b'FR',b'Free',123,13,0.22,b'Desktop',7,0
b'Female',22,b'FR',b'Premium',18,12,0.39,b'Mobile',0,0
b'Other',44,b'UK',b'Premium',149,45,0.22,b'Web',0,0
b'Male',53,b'US',b'Student',72,12,0.17,b'Web',0,0
b'Female',49,b'IN',b'Premium',291,74,0.11,b'Mobile',0,0
b'Male',49,b'US',b'Family',147,52,0.43,b'Web',0,0
b'Female',55,b'FR',b'Premium',18,2,0.04,b'Mobile',0,0
b'Other',24,b'DE',b'Free',59,53,0.18,b'Web',28,1
b'Male',22,b'DE',b'Student',280,99,0.29,b'Desktop',0,0
